title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.6557377049180326,61,Trainspotting (1996),Boogie Nights (1997),Phenomenon (1996),One Flew Over the Cuckoo's Nest (1975)
"Adventures of Robin Hood, The (1938)",3.731707317073171,41,Titanic (1997),"Game, The (1997)",Speed (1994),True Lies (1994)
"Affair to Remember, An (1957)",4.214285714285714,14,Broken Arrow (1996),Mission: Impossible (1996),"Fifth Element, The (1997)",Star Trek: The Wrath of Khan (1982)
"African Queen, The (1951)",4.259740259740259,77,"Devil's Own, The (1997)",Evita (1996),"Wizard of Oz, The (1939)",Star Trek III: The Search for Spock (1984)
Afterglow (1997),2.6666666666666665,9,Boogie Nights (1997),Psycho (1960),Courage Under Fire (1996),It's a Wonderful Life (1946)
"Age of Innocence, The (1993)",3.5135135135135136,37,"Full Monty, The (1997)",Dances with Wolves (1990),"English Patient, The (1996)",Men in Black (1997)
Aiqing wansui (1994),5.0,1,-,-,-,-
Air Bud (1997),2.5714285714285716,21,Mars Attacks! (1996),M*A*S*H (1970),GoodFellas (1990),Boogie Nights (1997)
Air Force One (1997),3.6422018348623855,218,Phenomenon (1996),Star Trek: The Wrath of Khan (1982),Star Trek: First Contact (1996),"Devil's Own, The (1997)"
"Air Up There, The (1994)",2.7142857142857144,7,Dante's Peak (1997),Lone Star (1996),"Saint, The (1997)","Devil's Own, The (1997)"
Airheads (1994),2.6666666666666665,15,Brazil (1985),"Truth About Cats & Dogs, The (1996)",Phenomenon (1996),Starship Troopers (1997)
Akira (1988),3.3076923076923075,26,"Full Monty, The (1997)",In & Out (1997),Sense and Sensibility (1995),Heat (1995)
Aladdin (1992),3.765765765765766,111,Toy Story (1995),Sleepless in Seattle (1993),Braveheart (1995),Mrs. Doubtfire (1993)
Aladdin and the King of Thieves (1996),2.9166666666666665,12,Rear Window (1954),One Flew Over the Cuckoo's Nest (1975),Butch Cassidy and the Sundance Kid (1969),Titanic (1997)
Alaska (1996),2.3333333333333335,6,Dante's Peak (1997),"Silence of the Lambs, The (1991)","Princess Bride, The (1987)",Star Trek IV: The Voyage Home (1986)
Albino Alligator (1996),2.5,6,"Fifth Element, The (1997)",Batman (1989),Jurassic Park (1993),Four Weddings and a Funeral (1994)
Alice in Wonderland (1951),3.717948717948718,39,Titanic (1997),Butch Cassidy and the Sundance Kid (1969),"Game, The (1997)",2001: A Space Odyssey (1968)
Alien (1979),4.104938271604938,162,Aliens (1986),"People vs. Larry Flynt, The (1996)","Shining, The (1980)",M*A*S*H (1970)
Alien 3 (1992),2.8596491228070176,57,Four Weddings and a Funeral (1994),"Hunt for Red October, The (1990)",In & Out (1997),Star Trek III: The Search for Spock (1984)
Alien: Resurrection (1997),3.2,55,Courage Under Fire (1996),Batman (1989),Starship Troopers (1997),Seven (Se7en) (1995)
Aliens (1986),3.965034965034965,143,In & Out (1997),Alien (1979),Batman (1989),Jaws (1975)
All About Eve (1950),4.1,30,Rear Window (1954),Liar Liar (1997),Casablanca (1942),"Clockwork Orange, A (1971)"
All Dogs Go to Heaven 2 (1996),1.6363636363636365,11,Unforgiven (1992),Air Force One (1997),Conspiracy Theory (1997),"People vs. Larry Flynt, The (1996)"
All Over Me (1997),3.0,3,-,-,-,-
All Things Fair (1996),3.0,1,-,-,-,-
Alphaville (1965),3.1666666666666665,6,Ransom (1996),Trainspotting (1996),"Lion King, The (1994)",Aladdin (1992)
Amadeus (1984),4.136645962732919,161,Schindler's List (1993),"Wizard of Oz, The (1939)","People vs. Larry Flynt, The (1996)","Sting, The (1973)"
Amateur (1994),3.1,10,Ransom (1996),In & Out (1997),Star Trek III: The Search for Spock (1984),Face/Off (1997)
"Amazing Panda Adventure, The (1995)",3.5,2,"Godfather, The (1972)","Rock, The (1996)",Back to the Future (1985),Braveheart (1995)
American Buffalo (1996),2.3333333333333335,3,Mighty Aphrodite (1995),"Rock, The (1996)",Twister (1996),Contact (1997)
American Dream (1990),2.5,2,Brazil (1985),"Clockwork Orange, A (1971)",Dances with Wolves (1990),Quiz Show (1994)
"American President, The (1995)",3.6391752577319587,97,"Saint, The (1997)",Phenomenon (1996),"Lion King, The (1994)",Field of Dreams (1989)
American Strays (1996),1.0,1,-,-,-,-
"American Werewolf in London, An (1981)",3.6491228070175437,57,"People vs. Larry Flynt, The (1996)",Boogie Nights (1997),"Full Monty, The (1997)",Men in Black (1997)
"American in Paris, An (1951)",3.9285714285714284,28,In & Out (1997),Stand by Me (1986),Star Trek IV: The Voyage Home (1986),Liar Liar (1997)
Amistad (1997),3.9558823529411766,68,Dances with Wolves (1990),Top Gun (1986),Dead Man Walking (1995),Mrs. Doubtfire (1993)
Amityville 1992: It's About Time (1992),1.0,4,-,-,-,-
Amityville 3-D (1983),1.0,4,-,-,-,-
"Amityville Curse, The (1990)",1.0,3,-,-,-,-
"Amityville Horror, The (1979)",2.4285714285714284,21,Boogie Nights (1997),Sense and Sensibility (1995),Brazil (1985),"Game, The (1997)"
Amityville II: The Possession (1982),1.0,5,-,-,-,-
Amityville: A New Generation (1993),1.0,4,-,-,-,-
Amityville: Dollhouse (1996),1.0,1,-,-,-,-
Amos & Andrew (1993),2.75,12,Leaving Las Vegas (1995),Star Trek III: The Search for Spock (1984),Star Trek: First Contact (1996),Willy Wonka and the Chocolate Factory (1971)
An Unforgettable Summer (1994),2.0,2,Chasing Amy (1997),Courage Under Fire (1996),In & Out (1997),Leaving Las Vegas (1995)
Anaconda (1997),2.375,16,"Graduate, The (1967)",2001: A Space Odyssey (1968),"Rock, The (1996)","Devil's Own, The (1997)"
Anastasia (1997),3.3529411764705883,34,Dead Poets Society (1989),"Clockwork Orange, A (1971)",Heat (1995),Mr. Holland's Opus (1995)
Andre (1994),2.7777777777777777,9,"Rock, The (1996)",Evita (1996),"Fifth Element, The (1997)","Game, The (1997)"
Angel and the Badman (1947),2.6666666666666665,3,"Empire Strikes Back, The (1980)",Evita (1996),Seven (Se7en) (1995),"Sting, The (1973)"
Angel on My Shoulder (1946),2.0,1,-,-,-,-
Angela (1995),3.0,1,-,-,-,-
Angels and Insects (1995),3.6,45,Murder at 1600 (1997),Heat (1995),"Wizard of Oz, The (1939)",To Kill a Mockingbird (1962)
Angels in the Outfield (1994),2.9,20,Titanic (1997),M*A*S*H (1970),"Shining, The (1980)","English Patient, The (1996)"
Angus (1995),2.5,8,"Fugitive, The (1993)",Die Hard (1988),This Is Spinal Tap (1984),Seven (Se7en) (1995)
Anna (1996),5.0,1,-,-,-,-
Anna Karenina (1997),3.1333333333333333,15,Blade Runner (1982),Jerry Maguire (1996),E.T. the Extra-Terrestrial (1982),Mrs. Doubtfire (1993)
Anne Frank Remembered (1995),4.0,10,Braveheart (1995),Speed (1994),True Lies (1994),Dances with Wolves (1990)
Annie Hall (1977),3.95,100,M*A*S*H (1970),Dante's Peak (1997),Chasing Amy (1997),Star Trek: The Wrath of Khan (1982)
Another Stakeout (1993),2.1538461538461537,13,This Is Spinal Tap (1984),"Shining, The (1980)","Devil's Own, The (1997)",GoodFellas (1990)
Antonia's Line (1995),3.8333333333333335,36,Jerry Maguire (1996),Lone Star (1996),"Full Monty, The (1997)",Gandhi (1982)
Aparajito (1956),3.5,4,Brazil (1985),Amadeus (1984),"Clockwork Orange, A (1971)","Silence of the Lambs, The (1991)"
"Apartment, The (1960)",3.7666666666666666,30,"Time to Kill, A (1996)","Fifth Element, The (1997)",Boogie Nights (1997),True Lies (1994)
Apocalypse Now (1979),3.9913793103448274,116,Heat (1995),"Godfather, The (1972)",Get Shorty (1995),"Clockwork Orange, A (1971)"
Apollo 13 (1995),3.879432624113475,141,"Time to Kill, A (1996)",Braveheart (1995),Aladdin (1992),Raiders of the Lost Ark (1981)
"Apostle, The (1997)",3.7241379310344827,29,"Fifth Element, The (1997)",Batman (1989),One Flew Over the Cuckoo's Nest (1975),Braveheart (1995)
"Apple Dumpling Gang, The (1975)",2.6666666666666665,12,Quiz Show (1994),To Kill a Mockingbird (1962),Rear Window (1954),When Harry Met Sally... (1989)
April Fool's Day (1986),2.4444444444444446,9,M*A*S*H (1970),Quiz Show (1994),Courage Under Fire (1996),"Full Monty, The (1997)"
Apt Pupil (1998),4.1625,80,GoodFellas (1990),2001: A Space Odyssey (1968),Dead Poets Society (1989),Forrest Gump (1994)
"Aristocats, The (1970)",3.0689655172413794,29,Eraser (1996),Aladdin (1992),"Fish Called Wanda, A (1988)",Mission: Impossible (1996)
Army of Darkness (1993),3.5689655172413794,58,Rear Window (1954),"Full Monty, The (1997)",Groundhog Day (1993),L.A. Confidential (1997)
Around the World in 80 Days (1956),3.7,30,Evita (1996),Braveheart (1995),"Shawshank Redemption, The (1994)",Schindler's List (1993)
"Arrival, The (1996)",2.9545454545454546,44,Indiana Jones and the Last Crusade (1989),Apocalypse Now (1979),Gandhi (1982),Dante's Peak (1997)
Arsenic and Old Lace (1944),4.061538461538461,65,Courage Under Fire (1996),"Time to Kill, A (1996)",In & Out (1997),Seven (Se7en) (1995)
As Good As It Gets (1997),4.274193548387097,62,GoodFellas (1990),Ransom (1996),Unforgiven (1992),Butch Cassidy and the Sundance Kid (1969)
Assassins (1995),2.9166666666666665,24,"Game, The (1997)",Mars Attacks! (1996),Dead Man Walking (1995),Evita (1996)
"Assignment, The (1997)",3.25,8,"Game, The (1997)",Chasing Amy (1997),"Rock, The (1996)",Phenomenon (1996)
"Associate, The (1996)",3.130434782608696,23,Terminator 2: Judgment Day (1991),It's a Wonderful Life (1946),Apocalypse Now (1979),Beauty and the Beast (1991)
Audrey Rose (1977),2.3333333333333335,6,Raiders of the Lost Ark (1981),Courage Under Fire (1996),One Flew Over the Cuckoo's Nest (1975),GoodFellas (1990)
Austin Powers: International Man of Mystery (1997),3.3230769230769233,65,Starship Troopers (1997),Speed (1994),Die Hard (1988),"Birdcage, The (1996)"
"Awfully Big Adventure, An (1995)",2.0,4,Star Wars (1977),"Sound of Music, The (1965)",Back to the Future (1985),Sense and Sensibility (1995)
Ayn Rand: A Sense of Life (1997),3.0,3,-,-,-,-
B*A*P*S (1997),1.0,1,-,-,-,-
Babe (1995),4.017094017094017,117,Jaws (1975),Lone Star (1996),Apocalypse Now (1979),Quiz Show (1994)
"Baby-Sitters Club, The (1995)",2.5714285714285716,7,Forrest Gump (1994),Leaving Las Vegas (1995),Mr. Holland's Opus (1995),Quiz Show (1994)
Babyfever (1994),1.0,1,-,-,-,-
"Babysitter, The (1995)",2.3333333333333335,3,Twister (1996),Dante's Peak (1997),Eraser (1996),Mr. Holland's Opus (1995)
Back to the Future (1985),3.9239130434782608,184,Speed (1994),Indiana Jones and the Last Crusade (1989),Field of Dreams (1989),"Terminator, The (1984)"
Backbeat (1993),3.8,10,"Truth About Cats & Dogs, The (1996)",Air Force One (1997),Evita (1996),"Game, The (1997)"
Bad Boys (1995),2.933333333333333,30,Evita (1996),Murder at 1600 (1997),Field of Dreams (1989),Mrs. Doubtfire (1993)
Bad Company (1995),2.3333333333333335,6,Chasing Amy (1997),Monty Python and the Holy Grail (1974),Dances with Wolves (1990),GoodFellas (1990)
Bad Girls (1994),1.8333333333333333,6,Star Trek: The Wrath of Khan (1982),Toy Story (1995),Dances with Wolves (1990),"Fifth Element, The (1997)"
Bad Moon (1996),2.5,4,Rear Window (1954),In & Out (1997),Alien (1979),One Flew Over the Cuckoo's Nest (1975)
Bad Taste (1987),3.888888888888889,9,Boogie Nights (1997),Four Weddings and a Funeral (1994),"English Patient, The (1996)",Dead Man Walking (1995)
"Ballad of Narayama, The (Narayama Bushiko) (1958)",2.6666666666666665,3,Conspiracy Theory (1997),Contact (1997),Fargo (1996),L.A. Confidential (1997)
Balto (1995),2.7,10,"Fifth Element, The (1997)",Scream (1996),Mighty Aphrodite (1995),Murder at 1600 (1997)
Bananas (1971),3.7142857142857144,42,"Devil's Own, The (1997)",Speed (1994),"Shawshank Redemption, The (1994)","Blues Brothers, The (1980)"
"Band Wagon, The (1953)",3.6,5,Broken Arrow (1996),Star Trek: The Wrath of Khan (1982),Groundhog Day (1993),"Hunt for Red October, The (1990)"
Barb Wire (1996),2.0,15,Evita (1996),Sense and Sensibility (1995),To Kill a Mockingbird (1962),Seven (Se7en) (1995)
Barbarella (1968),2.466666666666667,15,Dante's Peak (1997),Speed (1994),Face/Off (1997),Courage Under Fire (1996)
Barcelona (1994),3.2758620689655173,29,One Flew Over the Cuckoo's Nest (1975),"Full Monty, The (1997)","People vs. Larry Flynt, The (1996)",Men in Black (1997)
Basic Instinct (1992),3.3529411764705883,51,"Time to Kill, A (1996)",Rear Window (1954),Heat (1995),Dante's Peak (1997)
"Basketball Diaries, The (1995)",3.3,20,Murder at 1600 (1997),Brazil (1985),"Sting, The (1973)",M*A*S*H (1970)
Basquiat (1996),3.227272727272727,22,Star Trek IV: The Voyage Home (1986),Broken Arrow (1996),Murder at 1600 (1997),Die Hard (1988)
Bastard Out of Carolina (1996),2.6923076923076925,13,Twister (1996),Broken Arrow (1996),Apollo 13 (1995),Die Hard (1988)
Batman & Robin (1997),2.357142857142857,28,"Time to Kill, A (1996)",This Is Spinal Tap (1984),When Harry Met Sally... (1989),"Terminator, The (1984)"
Batman (1989),3.4144144144144146,111,"Game, The (1997)","Terminator, The (1984)",Aliens (1986),"Fugitive, The (1993)"
Batman Forever (1995),2.8275862068965516,58,"Saint, The (1997)",Toy Story (1995),Dante's Peak (1997),Conspiracy Theory (1997)
Batman Returns (1992),2.6578947368421053,76,To Kill a Mockingbird (1962),Babe (1995),Dead Man Walking (1995),"Fish Called Wanda, A (1988)"
Baton Rouge (1988),1.0,1,-,-,-,-
Bean (1997),2.5681818181818183,44,Brazil (1985),Aliens (1986),Dante's Peak (1997),Jurassic Park (1993)
"Beans of Egypt, Maine, The (1994)",3.0,1,-,-,-,-
Beat the Devil (1954),3.75,4,Ransom (1996),Mission: Impossible (1996),Willy Wonka and the Chocolate Factory (1971),Rear Window (1954)
"Beautician and the Beast, The (1997)",2.236842105263158,38,This Is Spinal Tap (1984),Get Shorty (1995),"Devil's Own, The (1997)",True Lies (1994)
Beautiful Girls (1996),3.3230769230769233,65,Apocalypse Now (1979),"Truth About Cats & Dogs, The (1996)",Casablanca (1942),Terminator 2: Judgment Day (1991)
Beautiful Thing (1996),4.0,15,"Shining, The (1980)",Starship Troopers (1997),"Fifth Element, The (1997)",Murder at 1600 (1997)
Beauty and the Beast (1991),3.787037037037037,108,"Lion King, The (1994)",Aladdin (1992),Liar Liar (1997),Sleepless in Seattle (1993)
Beavis and Butt-head Do America (1996),2.7625,80,"Shining, The (1980)",M*A*S*H (1970),GoodFellas (1990),"Fifth Element, The (1997)"
Bed of Roses (1996),3.3870967741935485,31,Boogie Nights (1997),Murder at 1600 (1997),"People vs. Larry Flynt, The (1996)","Saint, The (1997)"
Bedknobs and Broomsticks (1971),3.2,30,"Fifth Element, The (1997)","Rock, The (1996)",Murder at 1600 (1997),L.A. Confidential (1997)
Before Sunrise (1995),3.44,25,Terminator 2: Judgment Day (1991),"Hunt for Red October, The (1990)",M*A*S*H (1970),Air Force One (1997)
Before and After (1996),2.8333333333333335,6,Twister (1996),Back to the Future (1985),Dante's Peak (1997),Blade Runner (1982)
Before the Rain (Pred dozhdot) (1994),3.857142857142857,7,Star Trek: The Wrath of Khan (1982),"Shining, The (1980)",Pulp Fiction (1994),Beauty and the Beast (1991)
Being Human (1993),1.6666666666666667,3,Star Trek: The Wrath of Khan (1982),"Silence of the Lambs, The (1991)",When Harry Met Sally... (1989),"Shining, The (1980)"
Being There (1979),4.0344827586206895,58,Volcano (1997),Dante's Peak (1997),"Godfather, The (1972)",Conspiracy Theory (1997)
"Believers, The (1987)",2.2222222222222223,9,In & Out (1997),Toy Story (1995),Starship Troopers (1997),"Wizard of Oz, The (1939)"
Belle de jour (1967),3.764705882352941,17,"Devil's Own, The (1997)",Volcano (1997),Courage Under Fire (1996),Broken Arrow (1996)
Ben-Hur (1959),3.764705882352941,51,Batman (1989),Men in Black (1997),Schindler's List (1993),"People vs. Larry Flynt, The (1996)"
Benny & Joon (1993),3.5090909090909093,55,Murder at 1600 (1997),Lone Star (1996),Star Trek: First Contact (1996),Stand by Me (1986)
Bent (1997),2.75,4,In & Out (1997),"English Patient, The (1996)","Game, The (1997)",Air Force One (1997)
Best Men (1997),4.0,1,-,-,-,-
Best of the Best 3: No Turning Back (1995),2.0,3,Beauty and the Beast (1991),Top Gun (1986),"Hunt for Red October, The (1990)",Sleepless in Seattle (1993)
Better Off Dead... (1985),3.590909090909091,44,Get Shorty (1995),Boogie Nights (1997),Eraser (1996),"Princess Bride, The (1987)"
"Beverly Hillbillies, The (1993)",2.0,8,Star Trek IV: The Voyage Home (1986),"Silence of the Lambs, The (1991)",Volcano (1997),Mr. Holland's Opus (1995)
Beverly Hills Cop III (1994),2.4166666666666665,12,Amadeus (1984),Sense and Sensibility (1995),Casablanca (1942),"People vs. Larry Flynt, The (1996)"
Beverly Hills Ninja (1997),2.423076923076923,26,Star Trek III: The Search for Spock (1984),Jurassic Park (1993),Dante's Peak (1997),Murder at 1600 (1997)
"Bewegte Mann, Der (1994)",4.0,2,-,-,-,-
Beyond Bedlam (1993),1.0,2,-,-,-,-
Beyond Rangoon (1995),2.6,10,Lone Star (1996),It's a Wonderful Life (1946),Leaving Las Vegas (1995),Groundhog Day (1993)
Bhaji on the Beach (1993),2.6666666666666665,3,Indiana Jones and the Last Crusade (1989),Alien (1979),"Birdcage, The (1996)",Brazil (1985)
"Big Bang Theory, The (1994)",4.0,1,-,-,-,-
"Big Blue, The (Grand bleu, Le) (1988)",3.7142857142857144,7,"Hunt for Red October, The (1990)",Four Weddings and a Funeral (1994),Psycho (1960),Dances with Wolves (1990)
Big Bully (1996),1.8571428571428572,7,Jurassic Park (1993),Phenomenon (1996),Toy Story (1995),Conspiracy Theory (1997)
"Big Green, The (1995)",2.272727272727273,11,"Fugitive, The (1993)","Hunt for Red October, The (1990)","Silence of the Lambs, The (1991)",Ransom (1996)
"Big Lebowski, The (1998)",3.95,20,Butch Cassidy and the Sundance Kid (1969),Brazil (1985),Gandhi (1982),Psycho (1960)
Big Night (1996),3.9775280898876404,89,Face/Off (1997),L.A. Confidential (1997),Lone Star (1996),2001: A Space Odyssey (1968)
"Big One, The (1997)",3.0,1,-,-,-,-
"Big Sleep, The (1946)",4.0,41,"Clockwork Orange, A (1971)",This Is Spinal Tap (1984),Trainspotting (1996),Get Shorty (1995)
"Big Squeeze, The (1996)",3.0,1,-,-,-,-
Billy Madison (1995),3.0416666666666665,24,Butch Cassidy and the Sundance Kid (1969),Rear Window (1954),M*A*S*H (1970),"Clockwork Orange, A (1971)"
Bio-Dome (1996),1.875,16,Heat (1995),Amadeus (1984),Starship Troopers (1997),M*A*S*H (1970)
Bird of Prey (1996),1.0,1,-,-,-,-
"Birdcage, The (1996)",3.475,160,One Flew Over the Cuckoo's Nest (1975),Boogie Nights (1997),True Lies (1994),"Shining, The (1980)"
"Birds, The (1963)",3.880434782608696,92,Gandhi (1982),Die Hard (1988),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
Bitter Moon (1992),3.0,5,Pulp Fiction (1994),Heat (1995),Star Trek IV: The Voyage Home (1986),True Lies (1994)
Bitter Sugar (Azucar Amargo) (1996),4.0,1,-,-,-,-
Black Beauty (1994),3.4615384615384617,13,Mighty Aphrodite (1995),Air Force One (1997),"Truth About Cats & Dogs, The (1996)",Mars Attacks! (1996)
Black Sheep (1996),2.6451612903225805,31,It's a Wonderful Life (1946),Evita (1996),Air Force One (1997),Sleepless in Seattle (1993)
Blade Runner (1982),4.083916083916084,143,Dante's Peak (1997),Volcano (1997),Butch Cassidy and the Sundance Kid (1969),"Empire Strikes Back, The (1980)"
Blink (1994),2.909090909090909,11,Air Force One (1997),Terminator 2: Judgment Day (1991),Boogie Nights (1997),Sense and Sensibility (1995)
Bliss (1997),2.75,4,Lone Star (1996),Chasing Amy (1997),Toy Story (1995),Contact (1997)
"Blob, The (1958)",2.652173913043478,23,Lone Star (1996),Stand by Me (1986),2001: A Space Odyssey (1968),Leaving Las Vegas (1995)
Blood & Wine (1997),2.769230769230769,13,Starship Troopers (1997),Amadeus (1984),In & Out (1997),Air Force One (1997)
Blood Beach (1981),2.0,3,"Fish Called Wanda, A (1988)",True Lies (1994),"Terminator, The (1984)",Scream (1996)
Blood For Dracula (Andy Warhol's Dracula) (1974),2.5,4,Dances with Wolves (1990),Rear Window (1954),Amadeus (1984),"Hunt for Red October, The (1990)"
Bloodsport 2 (1995),1.5714285714285714,7,This Is Spinal Tap (1984),Star Trek III: The Search for Spock (1984),Brazil (1985),Lone Star (1996)
"Bloody Child, The (1996)",1.0,1,-,-,-,-
Blown Away (1994),2.85,20,"Full Monty, The (1997)",In & Out (1997),"People vs. Larry Flynt, The (1996)",Sleepless in Seattle (1993)
"Blue Angel, The (Blaue Engel, Der) (1930)",3.727272727272727,11,"Shining, The (1980)",Mrs. Doubtfire (1993),Speed (1994),Star Trek: First Contact (1996)
Blue Chips (1994),2.3333333333333335,3,"Usual Suspects, The (1995)",Apollo 13 (1995),Batman (1989),"Time to Kill, A (1996)"
Blue Sky (1994),3.4444444444444446,9,GoodFellas (1990),"Saint, The (1997)","Full Monty, The (1997)","Game, The (1997)"
Blue in the Face (1995),3.0454545454545454,22,Stand by Me (1986),True Lies (1994),"Devil's Own, The (1997)",M*A*S*H (1970)
Blues Brothers 2000 (1998),2.6923076923076925,13,Apollo 13 (1995),Blade Runner (1982),"Fugitive, The (1993)",Monty Python and the Holy Grail (1974)
"Blues Brothers, The (1980)",3.9124087591240877,137,Conspiracy Theory (1997),Leaving Las Vegas (1995),"Time to Kill, A (1996)","Shawshank Redemption, The (1994)"
Bob Roberts (1992),3.673469387755102,49,Heat (1995),"English Patient, The (1996)",Monty Python and the Holy Grail (1974),Fargo (1996)
Body Parts (1991),1.6,10,"Time to Kill, A (1996)","Lion King, The (1994)",Mrs. Doubtfire (1993),"Full Monty, The (1997)"
"Body Snatcher, The (1945)",3.5,14,"Full Monty, The (1997)",Dead Poets Society (1989),"Rock, The (1996)",Get Shorty (1995)
Body Snatchers (1993),3.024390243902439,41,M*A*S*H (1970),Dead Poets Society (1989),2001: A Space Odyssey (1968),Men in Black (1997)
Bogus (1996),2.3076923076923075,13,Willy Wonka and the Chocolate Factory (1971),Apocalypse Now (1979),Stand by Me (1986),E.T. the Extra-Terrestrial (1982)
Bonnie and Clyde (1967),3.7464788732394365,71,In & Out (1997),"Shining, The (1980)","Game, The (1997)",Speed (1994)
Boogie Nights (1997),3.6176470588235294,102,One Flew Over the Cuckoo's Nest (1975),"People vs. Larry Flynt, The (1996)","Clockwork Orange, A (1971)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
Boomerang (1992),3.0,17,"Shining, The (1980)",M*A*S*H (1970),Murder at 1600 (1997),Star Trek: The Wrath of Khan (1982)
"Boot, Das (1981)",4.1313131313131315,99,"Full Monty, The (1997)",When Harry Met Sally... (1989),One Flew Over the Cuckoo's Nest (1975),"English Patient, The (1996)"
Booty Call (1997),2.310344827586207,29,Indiana Jones and the Last Crusade (1989),GoodFellas (1990),Mighty Aphrodite (1995),E.T. the Extra-Terrestrial (1982)
Bottle Rocket (1996),3.3181818181818183,22,Dances with Wolves (1990),Mrs. Doubtfire (1993),Quiz Show (1994),Groundhog Day (1993)
Bound (1996),3.8,65,Sleepless in Seattle (1993),True Lies (1994),Murder at 1600 (1997),Four Weddings and a Funeral (1994)
Boxing Helena (1993),2.25,12,"Saint, The (1997)","Game, The (1997)",Dante's Peak (1997),"Truth About Cats & Dogs, The (1996)"
Boy's Life 2 (1997),3.0,3,Contact (1997),Psycho (1960),Rear Window (1954),L.A. Confidential (1997)
Boys (1996),2.6666666666666665,3,Leaving Las Vegas (1995),Mars Attacks! (1996),Dante's Peak (1997),"English Patient, The (1996)"
Boys Life (1995),4.0,2,-,-,-,-
Boys in Venice (1996),1.0,2,-,-,-,-
"Boys of St. Vincent, The (1993)",3.4444444444444446,9,"Devil's Own, The (1997)",Air Force One (1997),Braveheart (1995),Die Hard (1988)
Boys on the Side (1995),3.125,24,Butch Cassidy and the Sundance Kid (1969),"Truth About Cats & Dogs, The (1996)","Rock, The (1996)",Star Trek IV: The Voyage Home (1986)
"Boys, Les (1997)",5.0,1,-,-,-,-
"Brady Bunch Movie, The (1995)",2.8372093023255816,43,Murder at 1600 (1997),Air Force One (1997),Evita (1996),Dante's Peak (1997)
